AGS;Gemeinde;STT;STADTTEIL;STADTVIERTEL ;Stand_Einwohner;EINW_HW_GESAMT;EINW_HW_FRAUEN;EINW_HW_DEUTSCH;EINW_HW_AUSLAENDER;EINW_HW_unter18;EINW_HW_18_bis_unter_30;EINW_HW_30_bis_unter_40;EINW_HW_40_bis_unter_50;EINW_HW_50_bis_unter_60;EINW_HW_60_und_aelter;Haushalte
8335043;Konstanz;"010";Altstadt;"0101";31.12.19;1321;656;1010;311;142;394;246;162;153;224;872
8335043;Konstanz;"010";Altstadt;"0102";31.12.19;1778;896;1424;354;275;420;303;204;219;357;1075
8335043;Konstanz;"010";Altstadt;"0103";31.12.19;2861;1488;2531;330;407;577;473;332;393;679;1680
8335043;Konstanz;"010";Altstadt;"0104";31.12.19;2155;1200;1923;232;300;442;281;272;312;548;1278
8335043;Konstanz;"010";Altstadt;"0105";31.12.19;1356;722;1211;145;226;304;231;178;188;229;772
8335043;Konstanz;"010";Altstadt;"0106";31.12.19;1207;608;997;210;108;359;244;112;140;244;830
8335043;Konstanz;"010";Altstadt;"0107";31.12.19;1460;766;1216;244;163;381;237;150;176;353;965
8335043;Konstanz;"010";Altstadt;"010";31.12.19;12138;6336;10312;1826;1621;2877;2015;1410;1581;2634;7472
8335043;Konstanz;"020";Paradies;"0201";31.12.19;2802;1502;2497;305;378;487;409;300;451;777;1680
8335043;Konstanz;"020";Paradies;"0202";31.12.19;1624;936;1452;172;182;325;216;161;227;513;1048
8335043;Konstanz;"020";Paradies;"0203";31.12.19;1072;454;816;256;12;1023;29;5;*);*);645
8335043;Konstanz;"020";Paradies;"0204";31.12.19;599;310;571;28;98;108;70;62;*);*);322
8335043;Konstanz;"020";Paradies;"020";31.12.19;6097;3202;5336;761;670;1943;724;528;800;1432;3695
8335043;Konstanz;"030";Petershausen-West;"0301";31.12.19;1016;525;772;244;145;275;166;109;123;198;610
8335043;Konstanz;"030";Petershausen-West;"0302";31.12.19;1691;836;1179;512;258;466;245;191;215;316;883
8335043;Konstanz;"030";Petershausen-West;"0303";31.12.19;6079;3110;4883;1196;816;1938;1066;590;688;981;3549
8335043;Konstanz;"030";Petershausen-West;"0304";31.12.19;3479;1722;2664;815;380;1155;558;322;394;670;2174
8335043;Konstanz;"030";Petershausen-West;"0305";31.12.19;1751;912;1496;255;268;395;213;183;260;432;976
8335043;Konstanz;"030";Petershausen-West;"0306";31.12.19;2005;1064;1692;313;212;608;296;226;258;405;1218
8335043;Konstanz;"030";Petershausen-West;"030";31.12.19;16021;8169;12686;3335;2079;4837;2544;1621;1938;3002;9410
8335043;Konstanz;"035";Petershausen-Ost;"0351";31.12.19;2136;1196;1704;432;308;562;263;211;260;532;1231
8335043;Konstanz;"035";Petershausen-Ost;"0352";31.12.19;1377;768;1238;139;194;214;168;128;190;483;784
8335043;Konstanz;"035";Petershausen-Ost;"0353";31.12.19;1259;666;1145;114;169;206;144;116;206;418;731
8335043;Konstanz;"035";Petershausen-Ost;"0354";31.12.19;1139;653;1051;88;126;71;71;95;132;644;635
8335043;Konstanz;"035";Petershausen-Ost;"0355";31.12.19;1337;684;1236;101;195;272;125;147;206;392;717
8335043;Konstanz;"035";Petershausen-Ost;"035";31.12.19;7248;3967;6374;874;992;1325;771;697;994;2469;4098
8335043;Konstanz;"040";Koenigsbau;"0401";31.12.19;1164;621;1024;140;121;363;92;115;165;308;718
8335043;Konstanz;"040";Koenigsbau;"0402";31.12.19;1572;861;1203;369;354;250;200;213;230;325;740
8335043;Konstanz;"040";Koenigsbau;"0403";31.12.19;2530;1301;1997;533;338;1261;256;156;160;359;1345
8335043;Konstanz;"040";Koenigsbau;"0404";31.12.19;915;468;793;122;150;200;114;94;141;216;488
8335043;Konstanz;"040";Koenigsbau;"040";31.12.19;6181;3251;5017;1164;963;2074;662;578;696;1208;3291
8335043;Konstanz;"050";Allmannsdorf;"0501";31.12.19;1683;899;1525;158;252;285;189;171;279;507;895
8335043;Konstanz;"050";Allmannsdorf;"0502";31.12.19;1347;712;1183;164;194;287;158;153;206;349;743
8335043;Konstanz;"050";Allmannsdorf;"0503";31.12.19;2318;1240;2087;231;277;544;279;207;348;663;1376
8335043;Konstanz;"050";Allmannsdorf;"050";31.12.19;5348;2851;4795;553;723;1116;626;531;833;1519;3014
8335043;Konstanz;"060";Staad;"0601";31.12.19;1008;529;928;80;128;146;101;112;157;364;575
8335043;Konstanz;"060";Staad;"0602";31.12.19;771;412;700;71;117;109;87;97;94;267;424
8335043;Konstanz;"060";Staad;"060";31.12.19;1779;941;1628;151;245;255;188;209;251;631;999
8335043;Konstanz;"070";Fuerstenberg;"0701";31.12.19;4425;2283;3510;915;620;1327;574;435;560;909;2552
8335043;Konstanz;"070";Fuerstenberg;"0702";31.12.19;3213;1648;2719;494;404;699;434;302;434;940;1826
8335043;Konstanz;"070";Fuerstenberg;"0703";31.12.19;2168;1121;1856;312;360;399;254;239;308;608;1146
8335043;Konstanz;"070";Fuerstenberg;"0704";31.12.19;2694;1398;1996;698;362;658;370;320;372;612;1576
8335043;Konstanz;"070";Fuerstenberg;"070";31.12.19;12500;6450;10081;2419;1746;3083;1632;1296;1674;3069;7100
8335043;Konstanz;"080";Wollmatingen;"0801";31.12.19;2768;1461;2171;597;603;470;390;311;417;577;1377
8335043;Konstanz;"080";Wollmatingen;"0802";31.12.19;2163;1078;1928;235;449;415;239;306;358;396;1035
8335043;Konstanz;"080";Wollmatingen;"0803";31.12.19;1844;965;1622;222;268;363;215;225;349;424;970
